<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"自局番(MAC ID)の値が，範囲外。
モードスイッチの値が範囲外。","・自局番を0～63の間で設定する。
・モードスイッチをD～F以外に設定する。"
2300,"（対象局番：00局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2301,"（対象局番：01局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2302,"（対象局番：02局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2303,"（対象局番：03局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2304,"（対象局番：04局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2305,"（対象局番：05局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2306,"（対象局番：06局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2307,"（対象局番：07局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2308,"（対象局番：08局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2309,"（対象局番：09局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
230A,"（対象局番：10局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
230B,"（対象局番：11局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
230C,"（対象局番：12局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
230D,"（対象局番：13局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
230E,"（対象局番：14局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
230F,"（対象局番：15局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2310,"（対象局番：16局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2311,"（対象局番：17局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2312,"（対象局番：18局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2313,"（対象局番：19局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2314,"（対象局番：20局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2315,"（対象局番：21局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2316,"（対象局番：22局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2317,"（対象局番：23局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2318,"（対象局番：24局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2319,"（対象局番：25局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
231A,"（対象局番：26局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
231B,"（対象局番：27局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
231C,"（対象局番：28局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
231D,"（対象局番：29局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
231E,"（対象局番：30局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
231F,"（対象局番：31局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2320,"（対象局番：32局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2321,"（対象局番：33局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2322,"（対象局番：34局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2323,"（対象局番：35局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2324,"（対象局番：36局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2325,"（対象局番：37局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2326,"（対象局番：38局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2327,"（対象局番：39局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2328,"（対象局番：40局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2329,"（対象局番：41局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
232A,"（対象局番：42局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
232B,"（対象局番：43局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
232C,"（対象局番：44局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
232D,"（対象局番：45局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
232E,"（対象局番：46局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
232F,"（対象局番：47局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2330,"（対象局番：48局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2331,"（対象局番：49局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2332,"（対象局番：50局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2333,"（対象局番：51局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2334,"（対象局番：52局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2335,"（対象局番：53局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2336,"（対象局番：54局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2337,"（対象局番：55局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2338,"（対象局番：56局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2339,"（対象局番：57局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
233A,"（対象局番：58局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
233B,"（対象局番：59局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
233C,"（対象局番：60局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
233D,"（対象局番：61局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
233E,"（対象局番：62局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
233F,"（対象局番：63局）
コネクション確立時にスレーブ局がエラーで応答した。","・通信エラー情報読出しを行い，エラー情報を読み出し，
  その情報に従って対策する。"
2400,"（対象局番：00局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2401,"（対象局番：01局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2402,"（対象局番：02局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2403,"（対象局番：03局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2404,"（対象局番：04局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2405,"（対象局番：05局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2406,"（対象局番：06局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2407,"（対象局番：07局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2408,"（対象局番：08局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2409,"（対象局番：09局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
240A,"（対象局番：10局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
240B,"（対象局番：11局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
240C,"（対象局番：12局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
240D,"（対象局番：13局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
240E,"（対象局番：14局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
240F,"（対象局番：15局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2410,"（対象局番：16局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2411,"（対象局番：17局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2412,"（対象局番：18局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2413,"（対象局番：19局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2414,"（対象局番：20局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2415,"（対象局番：21局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2416,"（対象局番：22局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2417,"（対象局番：23局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2418,"（対象局番：24局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2419,"（対象局番：25局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
241A,"（対象局番：26局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
241B,"（対象局番：27局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
241C,"（対象局番：28局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
241D,"（対象局番：29局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
241E,"（対象局番：30局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
241F,"（対象局番：31局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2420,"（対象局番：32局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2421,"（対象局番：33局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2422,"（対象局番：34局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2423,"（対象局番：35局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2424,"（対象局番：36局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2425,"（対象局番：37局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2426,"（対象局番：38局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2427,"（対象局番：39局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2428,"（対象局番：40局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2429,"（対象局番：41局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
242A,"（対象局番：42局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
242B,"（対象局番：43局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
242C,"（対象局番：44局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
242D,"（対象局番：45局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
242E,"（対象局番：46局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
242F,"（対象局番：47局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2430,"（対象局番：48局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2431,"（対象局番：49局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2432,"（対象局番：50局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2433,"（対象局番：51局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2434,"（対象局番：52局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2435,"（対象局番：53局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2436,"（対象局番：54局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2437,"（対象局番：55局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2438,"（対象局番：56局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2439,"（対象局番：57局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
243A,"（対象局番：58局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
243B,"（対象局番：59局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
243C,"（対象局番：60局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
243D,"（対象局番：61局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
243E,"（対象局番：62局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
243F,"（対象局番：63局）
パラメータの入力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい入力データサイズを設定する。"
2500,"（対象局番：00局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2501,"（対象局番：01局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2502,"（対象局番：02局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2503,"（対象局番：03局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2504,"（対象局番：04局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2505,"（対象局番：05局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2506,"（対象局番：06局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2507,"（対象局番：07局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2508,"（対象局番：08局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2509,"（対象局番：09局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
250A,"（対象局番：10局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
250B,"（対象局番：11局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
250C,"（対象局番：12局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
250D,"（対象局番：13局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
250E,"（対象局番：14局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
250F,"（対象局番：15局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2510,"（対象局番：16局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2511,"（対象局番：17局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2512,"（対象局番：18局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2513,"（対象局番：19局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2514,"（対象局番：20局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2515,"（対象局番：21局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2516,"（対象局番：22局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2517,"（対象局番：23局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2518,"（対象局番：24局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2519,"（対象局番：25局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
251A,"（対象局番：26局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
251B,"（対象局番：27局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
251C,"（対象局番：28局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
251D,"（対象局番：29局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
251E,"（対象局番：30局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
251F,"（対象局番：31局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2520,"（対象局番：32局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2521,"（対象局番：33局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2522,"（対象局番：34局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2523,"（対象局番：35局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2524,"（対象局番：36局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2525,"（対象局番：37局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2526,"（対象局番：38局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2527,"（対象局番：39局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2528,"（対象局番：40局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
2529,"（対象局番：41局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
252A,"（対象局番：42局）
パラメータの出力データサイズと，
実際のスレーブ局のサイズが異なる。","・スレーブ局のマニュアルを調べ，
  正しい出力データサイズを設定する。"
