<GROUP>,,,
03E8-4FFF,Error detected by the programmable controller CPU,Take measures referring to the QCPU User's Manual (Hardware Design Maintenance and Inspection.),********.csv
B000-BFFF,Error detected by the CC-Link module,Take measure referring to the troubleshooting section of the CC-Link System Master/Local Module User's Manual,ERR_QJ61BT11.csv
C000-CFFF,Error detected by the Ethernet module,Take measure referring to the troubleshooting section of the Ethernet Interface Module User's Manual,ERR_QJ71E71.csv
F000-FFFF,Error detected by the MELSECNET/H or MELSECNET/10 module,Take measure referring to the troubleshooting section of the MELSECNET/H or MELSECNET/10 network system reference Manual,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
7301,"Switch 1 error 
* The setting of the intelligent function module switch 1 (CH1 mode setting) is incorrect.",Review the setting of the intelligent function module switch 1.,
7302,"Switch 2 error 
* The setting of the intelligent function module switch 2 (CH1 communication speed setting / transmission setting) is incorrect.",Review the setting of the intelligent function module switch 2.,
7303,"Switch 3 error 
* The setting of the intelligent function module switch 3 (CH2 mode setting) is incorrect.",Review the setting of the intelligent function module switch 3.,
7304,"Switch 4 error 
* The setting of the intelligent function module switch 4 (CH2 communication speed / transmission setting) is incorrect.",Review the setting of the intelligent function module switch 4.,
7305,"Switch 5 error 
* The setting of the intelligent function module switch 5 (CH1, 2 station No. setting) is incorrect.",Review the setting of the intelligent function module switch 5.,
750F,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7510,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7511,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7512,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7513,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7514,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7515,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7516,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7517,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7518,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7523,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
752A,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
752B,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7540,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7541,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7542,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7543,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7544,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7545,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7546,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7550,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7551,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
7552,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
75FD,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
75FE,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
75FF,"System error 
* The OS of the QJ71MB91 detected a fault.","Take the following steps:
* Check if the power supply module, programmable controller CPU and QJ71MB91 are correctly mounted on the base unit.
* Confirm that the system is operated within the general specifications of the programmable controller CPU.
* Check if the power capacity is sufficient. 
* A probable cause is a hardware error.Check if the programmable controller CPU, base unit and QJ71MB91 are normal referring to the manual for each module.Or, replace any of the modules to check the operation.
* If the above does not solve the problem, please consult your local Mitsubishi system service center or representative, explaining a detailed description of the error occurrence, the GX Developer project and/or the error code."
</ERRCODE>,,
