<GROUP>,,,
4000-4FFF,Error detected by PLC CPU,Take measures referring to the QCPU User's Manual (Hardware Design Maintenance and Inspection.),********.csv
7000-7FFF,"Error detected by the serial communication module,etc.",Take measure referring to the troubleshooting section of the Serial Communication Module User's Manual,ERR_QJ71C24.csv
B000-BFFF,Error detected by the CC-Link module,Take measure referring to the troubleshooting section of the CC-Link System Master/Local Module User's Manual,ERR_QJ61BT11.csv
E000-EFFF,Error detected by the CC IE Control module,Take measure referring to the troubleshooting section of the CC IE Control network system reference Manual,ERR_QJ71GP21.csv
F000-FFFF,Error detected by the MELSECNET/H or MELSECNET/10 module,Take measure referring to the troubleshooting section of the MELSECNET/H or MELSECNET/10 network system reference Manual,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
C001,"* At initial processing, the IP address setting value of the Ethernet module is incorrect.
* When using the router relay function, the setting value of the sub-net mask field is incorrect.","* Correct the IP address.
Set the class to A/B/C.
* Correct the sub-net mask.",
C002,"At initial setting, some of the various timer setting values are outside the allowable range. ",* Review and correct the necessary timer values at initial processing.,
C003,"At initial setting, the setting value of the automatic open UDP port number is outside the allowable range.",* Correct the automatic open UDP port number.,
C004,The setting value of the sub-net mask field is incorrect.,* Correct the sub-net mask and execute the initial processing again.,
C005,"* The setting value of the default router IP address for the router relay function is incorrect.
* Network ID (network ID after sub-net mask) of the default router IP address is different from the network ID of the local station's Ethernet module IP address.","* Correct the default router IP address and execute the initial processing again.
* Set the network ID to the same network ID as the local station's Ethernet module IP address.",
C0ED,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0EE,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0EF,An error was detected in the PLC CPU.,"* Check if the PLC CPU and intelligent function modules are correctly mounted to the base or not.
* Check that the PLC CPU does not remain in the reset status.
* Check that no error has occurred in the PLC CPU.  If an error is found, take corrective actions according to error description of the PLC CPU.
* Replace the power supply module, PLC CPU and/or intelligent function module."
C0F0,An Ethernet module RAM abnormality was detected in the hardware test.,"* Conduct a hardware test again. If an abnormality is detected again, the Ethernet module hardware may be faulty.
Consult your nearest branch office or dealer with the details of the errors."
C0F1,An Ethernet module ROM abnormality was detected in the hardware test.,"* Conduct a hardware test again. If an abnormality is detected again, the Ethernet module hardware may be faulty.
Consult your nearest branch office or dealer with the details of the errors."
C0F3,A module system error (serious abnormality) was detected in the CPU.,* Correct the causes of error in the local station CPU.
C0F4,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0F5,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0F6,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C0F7,An error occurs in the self refrain test,"* Send after an arbitrarily selected time has elapsed because packets may be congested on the line.
* Check that the connection cable is not dislocated.
* Check that connections to the transceiver and terminator are not faulty.
* When other than above, the Ethernet module hardware may be faulty.
Consult your nearest dealer with the details of the errors."
C100,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C101,A response could not be received from the DNS client.,"* Check the address of the DNS server.
* Check whether or not it is possible to communicate with the DNS server using the Ping command.
* Check that the IP addresses of the local station and DNS server are in the same class. (If the class is different, check the router setting.)"
C102,A response from the SMTP layer could not be received.,"* Check that the SMTP server name is registered in DNS.
* Delete the SMTP server name, change to the IP address setting, and check the operation.
* Check whether or not it is possible to communicate with the SMTP server using the Ping command."
C103,DNS settings incorrect.,"* Check the DNS mail address.
* Check the content of the DNS setting."
C104,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C105,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C106,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C110,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C111,A response could not be received from the DNS client.,"* Check cable, hub, etc.
* Check whether or not it is possible to communicate with the DNS server using the Ping command."
C112,A response from the POP3 layer could not be received.,"* Check that the POP3 server name is registered in DNS.
* Delete the POP3 server name, change to the IP address setting, and check the operation.
* Check whether or not it is possible to communicate with the POP3 server using the Ping command."
C113,"An e-mail was received that did not have an attached file.
(It will generate when the attached file is not read normally.)","* Designate an attached file on the sending side.
* Check the program on the sending side.
* When the sending source is the mail server, sending with the previous MSEND instruction failed.
Check the destination of the MSEND instruction, etc.
* Check that the sending side has the same e-mail specifications as the Ethernet module. (encode/decode, file format, etc.)
* A server with unknown destination was received from the SMTP server."
C114,An e-mail was received whose attached file name was invalid.,"* Check on the sending side whether the extension of the attached file is ''bin'' or ''asc''.
* Check whether or not the mail is compressed or encrypted.
* Check the destination of the MSEND instruction, etc.
* A server with unknown destination was received from the SMTP server."
C115,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C116,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C117,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C118,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C119,There is no received mail.,"* Check that the sending side has the same e-mail specifications as the Ethernet module. (encode/decode, file format, etc.)
* Check the mail information storage area of the buffer memory (address: 2682H), then read any received mail that is in the server."
C11A,Failed to convert an e-mail to be received.,"* Check whether or not the mail is compressed or encrypted.
* Check that the sending side has the same e-mail specifications as the Ethernet module. (encode/decode, file format, etc.)
* Check whether or not the file was divided on the sending side."
C11B,An e-mail was sent and an error mail was received from the mail server of the destination.,"* A server with unknown destination was received from the SMTP server. (Received mail is stored in the mail buffer.)
* Check that the part before ""@"" is correct in the mail address setting of the parameter settings.
* Check that the part before ""@"" is registered to the destination mail server."
C11C,A mail address is not found.,"* Check whether the mail setting of the parameter setting is correct or not.
* When the mail server and Ethernet module are connected via the router,check whether the router setting is correct or not.
* Test-send a mail to the address where it will be received without fail. When the test is normally completed, recheck whether the domain name after ""@"" is correct or not."
C11D,The size of the attached file exceeded the allowable size.,"* Check that the attached file is less than 6 k word.
* Check that the sending side did not divide the file."
C120,Could not open the SMTP server.,"* Check that the port number of the SMTP server = 25.
* Check whether or not it is possible to communicate with the SMTP server using the Ping command."
C121,"Cannot communicate with the SMTP server.
(Error response)",* Check if the SMTP server is busy.
C122,"Cannot communicate with the SMTP server.
(Abort)",* Check if the SMTP server is busy.
C123,"Cannot communicate with the SMTP server.
(Reset response)",* Check if the SMTP server is busy.
C124,A response from the SMTP server timed out.,"* Check whether or not the SMTP server is faulty.
* Check whether or not there is too much load on the network."
C125,Forcefully disconnected from the SMTP server.,* Check whether or not the SMTP server is faulty.
C126,Could not close the SMTP server.,"* Check whether or not the SMTP server is faulty.
 Check whether or not there is too much load on the network."
C127,Closing the SMTP server gave an error response.,* Check whether or not the SMTP server is faulty.
C130,Communication channel is closed because the service is not available.,* Check the status of the SMTP server.
C131,The SMTP server was performing processing and an error response was received.,"* Check if a user name not registered in the server was designated.
* Send again after arbitrary set time has passed."
C132,"The SMTP server was performing processing and an error response was received.
(Local error)",* Check the status of the SMTP server.
C133,"The SMTP server was performing processing and an error response was received.
(Insufficient memory area)",* Check the status of the SMTP server.
C134,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C135,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C136,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C137,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C138,"The SMTP server was performing processing and an error response was received.
(Mailbox not found)",* Check that the Ethernet module's mail address is set correctly.
C139,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C13A,The SMTP server was performing processing and an error response was received. (Exceeded the allocation of memory area),* Check the status of the SMTP server.
C13B,"The SMTP server was performing processing and an error response was received.
(Illegal mail box name)",* Check that the Ethernet module's mail address is set correctly.
C13C,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C140,Could not open the POP3 server.,"* Check that the port number of the POP3 server = 110. (For the Ethernet module, this is fixed to 110.)
* Check whether or not it is possible to communicate with the POP3 server using the Ping command."
C141,"Cannot communicate with the POP3 server.
(Error response)",* Check if the POP3 server is busy.
C142,"Cannot communicate with the POP3 server.
(Abort)",* Check if the POP3 server is busy.
C143,"Cannot communicate with the POP3 server.
(Reset response)",* Check if the POP3 server is busy.
C144,Could not receive a response from the POP3 server.,"* Check whether or not the POP3 server is faulty.
* Check whether or not there is too much load on the network."
C145,Forcefully disconnected from the POP3 server.,* Check whether or not the POP3 server is faulty.
C146,Could not close the POP3 server.,"* Check whether or not the POP3 server is faulty.
* Check whether or not there is too much load on the network."
C147,Closing the POP3 server gave an error response.,* Check whether or not the POP3 server is faulty.
C150,POP3 server verification error.,* Check the status of the POP3 server.
C151,The Ethernet module's mail address (e-mail address setting parameter) is different from the account name in the mailbox on the server side. ,* Check the account name in the mailbox on the server side and correct the mailbox account set for the Ethernet module.
C152,The Ethernet module's password (e-mail setting parameter) is different from the password on the server side.,* Check the password on the server side and correct the password set for the Ethernet module.
C153,"An error occurred when getting the received mail list.
(Failed to obtain the list of mail arrived at the POP3 server.)",* Reset the server inquiry time to the default value and reset the local station's PLC CPU.
C154,"An error occurred when receiving a mail.
(Cannot read e-mail from the POP3 server.)","* Check whether or not the mail is compressed or encrypted.
 Check that the sending side has the same e-mail specifications as the Ethernet module. (encode/decode, file format, etc.) "
C160,Received a response from the DNS server after timeout.,"* Check whether or not there is too much load on the network.
* Check the status of the DNS server."
C161,Could not receive a response from the DNS server.,"* Check whether or not there is too much load on the network.
* Check the status of the DNS server."
C162,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C163,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C171,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C172,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C173,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C174,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C175,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C176,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C177,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C178,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C179,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C17A,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C17B,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C17C,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C17D,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C17E,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C17F,An error is returned from DNS server.,"* Check if the DNS server's IP address setting is correct or not.
* Check if the mail server name setting (SMTP server name, POP server name) is correct or not.
* It checks to the administrator of a network. that the DNS function of the server set up by ''DNS setup'' is operating."
C1A0,An illegal request was made.,"* Execute again.
If the same error occurs, the Ethernet module's hardware may be faulty. 
Consult your nearest dealer with the details of the error."
C1A2,A response to a request could not be received.,* Review and correct the response wait time.
C1A4,A request or subrequest was incorrect.,* Correct the request or subrequest. 
C1A5,The designation of the target station or clear target were incorrect.,* Correct the designated value of the target station or clear target.
C1A6,Incorrect connection number was designated.,* Designate the connection number within the range of 1 to 16.
C1A7,Incorrect network number was designated.,* Correct the designated value of the network number.
C1A8,Incorrect station number was designated.,* Correct the designated value of the station number.
C1A9,Incorrect device number was designated.,* Correct the designated device value of the device number.
C1AA,Incorrect device name was designated.,* Correct the designated value of the device number.
C1AC,Incorrect resent count was designated.,* Correct the designated value of the resent count.
C1AD,Incorrect data length was designated.,* Correct the designated value of the data length.
C1AE,Incorrect mail sending/receiving data length and header length were designated.,"* Correct the designated values of sending/receiving data length and header length.
* Sending/receiving data length should be equal or longer than the header length."
C1AF,Incorrect port number was designated.,* Correct the designated value of the port number.
C1B0,The open processing of the designated connection is already completed.,* Execute the open processing after executing the close processing.
C1B1,The open processing of the designated connection has not been completed.,* Execute the open processing.
C1B2,The OPEN/CLOSE instruction is being executed in the designated connection.,* Execute after the OPEN/CLOSE instruction is completed.
C1B3,Another sending/receiving instruction is being executed on the designated channel.,"* Change the channel number.
* Execute after the sending/receiving instruction is completed."
C1B4,Incorrect arrival time was designated.,* Set the watchdog timer within the proper range.
C1B5,Data could not be received within the designated watchdog time.,* Review the designated value of the watchdog timer.
C1B6,Incorrect mail destination number was designated.,"* Review the designated value of the mail designation number.
* Review the sending mail address setting parameter."
C1B7,A reading operation was executed while no receiving e-mail was stored in the mail buffer data area.,* Execute the MRECV instruction when the mail receiving flag of the mail information is ''yes''.
C1B8,The RECV instruction was executed to the channel which has not received data.,"* The execution conditions of a RECV instruction are improved.
* Correct the designated value of the connection number."
C1B9,The OPEN instruction cannot be executed to the specified connection.,* Correct the designated value of the connection number.
C1BA,A dedicated instruction was executed while in the initialization uncompleted status,* Do not execute any dedicated instructions until after the initial processing is completed.
C1BB,An error is in the classification of the target CPU.,* Correct the designated value of the target CPU number.
C200,There is an error in the remote password.,"* Review the remote password, then perform the remote password unlock/lock processing again."
C201,The remote password status of the port used for communication is in the lock status.,"* Unlock the remote password, then perform communication."
C202,"When another station was accessed, the remote password could not be unlocked.","* When accessing another station, do not set a remote password in the relay station or station to be accessed, or set so they are not subject to the remote password check."
C203,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C204,The device is different from the one requesting the remote password unlock.,* Request the remote password lock processing from the opposite device that has requested the remote password unlock processing.
C205,"When another station was accessed, the remote password could not be unlocked.","* When accessing another station, do not set a remote password in the relay station or station to be accessed, or set so they are not subject to the remote password check."
C206,"System error
* The OS detected some error.","*  Counter the problem in the following procedure.
(1) Check whether or not the Ethernet module, power supply module and CPU module are mounted correctly on the base unit.
(2) Check whether or not the operating environment of the Ethernet module is within the range of general specifications of the CPU module.
(3) Check whether the power capacity is sufficient or not.
(4) Check the Ethernet module, CPU module and base unit to see if the hardware is normal according to the manual of each module.If the module is faulty, please contact your local Mitsubishi service center or representative for repair.
(5) If the problem cannot be resolved in the above steps, please consult your local Mitsubishi service center or representative, explaining a detailed description of the problem."
C207,The number of characters of a file name is too long.,* The number of characters of a file name is made into 255 or less characters.
C300,A response could not be received within the response monitoring timer value.,"* Check the operation of the external device.
* Review and correct the response monitoring timer value."
</ERRCODE>,,
