<GROUP>,,,
03E8-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,Ethernetユニット、FL-netユニットなどのエラー,Ethernetユニット、FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
F000-FFFF,MELSECNET/Hユニット、MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット、MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
7301,"スイッチ1エラー
・インテリジェント機能ユニットスイッチ1（CH1モード設定）の内容が異常である。",インテリジェント機能ユニットスイッチ1の設定を見直す。,
7302,"スイッチ2エラー
・インテリジェント機能ユニットスイッチ2（CH1通信速度設定・伝送設定）の内容が異常である。",インテリジェント機能ユニットスイッチ2の設定を見直す。,
7303,"スイッチ3エラー
・インテリジェント機能ユニットスイッチ3（CH2モード設定）の内容が異常である。",インテリジェント機能ユニットスイッチ3の設定を見直す。,
7304,"スイッチ4エラー
・インテリジェント機能ユニットスイッチ4（CH2通信速度設定・伝送設定）の内容が異常である。",インテリジェント機能ユニットスイッチ4の設定を見直す。,
7305,"スイッチ5エラー
・インテリジェント機能ユニットスイッチ5（CH1,2局番設定）の内容が異常である。",インテリジェント機能ユニットスイッチ5の設定を見直す。,
7506,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7507,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7508,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7509,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
750A,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
750B,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
750C,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
750D,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
750E,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
750F,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7510,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7511,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7512,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7513,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7514,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7515,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7516,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7517,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7518,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7523,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
752A,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
752B,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7540,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7541,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7542,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7543,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7544,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7545,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7546,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7550,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7551,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
7552,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
75FD,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
75FE,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
75FF,"システムエラー
・QJ71MB91のOSが異常を検出した。","以下の手順で対処する。
・電源ユニット，シーケンサCPU，QJ71MB91がベースユニットに正しく装着されているかを確認する。
・システムの使用環境が，シーケンサCPUの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・ハードウェア異常のおそれがある。シーケンサCPU，ベースユニット，QJ71MB91が正常か各ユニットのマニュアルを参照して確認する。または，ユニットを取り換えて動作を確認する。
・以上で問題が解決できない場合は，エラー発生時の操作内容，GX Developerプロジェクト，エラーコードを添えて，最寄りの三菱電機システムサービス（株）または三菱電機（株）の支社，代理店に症状を説明しご相談ください。"
</ERRCODE>,,
