<GROUP>,,
</GROUP>,,
<ERRCODE>,,
044C,"Faults
Hardware is faulty.","* Check that there is no influence from noise.
* Check hardware for possibility of fault."
132B,"Setting range outside deviation counter clear signal output time
The setting value of 'Deviation counter clear signal output time' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0776,"Setting range outside OPR method
The setting value of 'OPR method' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B5E,"Setting range outside OPR method
The setting value of 'OPR method' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F46,"Setting range outside OPR method
The setting value of 'OPR method' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
132E,"Setting range outside OPR method
The setting value of 'OPR method' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0777,"Setting range outside OPR direction
The setting value of 'OPR direction' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B5F,"Setting range outside OPR direction
The setting value of 'OPR direction' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F47,"Setting range outside OPR direction
The setting value of 'OPR direction' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
132F,"Setting range outside OPR direction
The setting value of 'OPR direction' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0778,"Setting range outside OP address
The setting value of 'OP address' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B60,"Setting range outside OP address
The setting value of 'OP address' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F48,"Setting range outside OP address
The setting value of 'OP address' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1330,"Setting range outside OP address
The setting value of 'OP address' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0779,"Setting range outside OPR speed
* The setting value of 'OPR speed' is outside the setting range.
* The setting value of 'OPR speed' is lower than 'Bias speed at start'.
* The setting value of 'OPR speed' is higher than 'Speed limit value'.","Change the setting to within the setting range, to not more than 'Speed limit value' and to not less than 'Bias speed at start', and turn the PLC READY signal (Y0) from OFF to ON."
0B61,"Setting range outside OPR speed
* The setting value of 'OPR speed' is outside the setting range.
* The setting value of 'OPR speed' is lower than 'Bias speed at start'.
* The setting value of 'OPR speed' is higher than 'Speed limit value'.","Change the setting to within the setting range, to not more than 'Speed limit value' and to not less than 'Bias speed at start', and turn the PLC READY signal (Y0) from OFF to ON."
0F49,"Setting range outside OPR speed
* The setting value of 'OPR speed' is outside the setting range.
* The setting value of 'OPR speed' is lower than 'Bias speed at start'.
* The setting value of 'OPR speed' is higher than 'Speed limit value'.","Change the setting to within the setting range, to not more than 'Speed limit value' and to not less than 'Bias speed at start', and turn the PLC READY signal (Y0) from OFF to ON."
1331,"Setting range outside OPR speed
* The setting value of 'OPR speed' is outside the setting range.
* The setting value of 'OPR speed' is lower than 'Bias speed at start'.
* The setting value of 'OPR speed' is higher than 'Speed limit value'.","Change the setting to within the setting range, to not more than 'Speed limit value' and to not less than 'Bias speed at start', and turn the PLC READY signal (Y0) from OFF to ON."
077A,"Setting range outside creep speed
* The setting value of 'Creep speed' is outside the setting range.
* The setting value of 'Creep speed' is higher than 'OPR speed'.
* The setting value of 'Creep speed' is lower than 'Bias speed at start'.","Change the setting to within the setting range, to not more than 'OPR speed' and to not less than 'Bias speed at start', and turn the PLC READY signal (Y0) from OFF to ON."
0B62,"Setting range outside creep speed
* The setting value of 'Creep speed' is outside the setting range.
* The setting value of 'Creep speed' is higher than 'OPR speed'.
* The setting value of 'Creep speed' is lower than 'Bias speed at start'.","Change the setting to within the setting range, to not more than 'OPR speed' and to not less than 'Bias speed at start', and turn the PLC READY signal (Y0) from OFF to ON."
0F4A,"Setting range outside creep speed
* The setting value of 'Creep speed' is outside the setting range.
* The setting value of 'Creep speed' is higher than 'OPR speed'.
* The setting value of 'Creep speed' is lower than 'Bias speed at start'.","Change the setting to within the setting range, to not more than 'OPR speed' and to not less than 'Bias speed at start', and turn the PLC READY signal (Y0) from OFF to ON."
1332,"Setting range outside creep speed
* The setting value of 'Creep speed' is outside the setting range.
* The setting value of 'Creep speed' is higher than 'OPR speed'.
* The setting value of 'Creep speed' is lower than 'Bias speed at start'.","Change the setting to within the setting range, to not more than 'OPR speed' and to not less than 'Bias speed at start', and turn the PLC READY signal (Y0) from OFF to ON."
077B,"Setting range outside ACC/DEC time at OPR
The setting value of 'ACC/DEC time at OPR' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B63,"Setting range outside ACC/DEC time at OPR
The setting value of 'ACC/DEC time at OPR' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F4B,"Setting range outside ACC/DEC time at OPR
The setting value of 'ACC/DEC time at OPR' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1333,"Setting range outside ACC/DEC time at OPR
The setting value of 'ACC/DEC time at OPR' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
077C,"Setting range outside DEC/STOP time at OPR
The setting value of 'DEC/STOP time at OPR' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B64,"Setting range outside DEC/STOP time at OPR
The setting value of 'DEC/STOP time at OPR' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F4C,"Setting range outside DEC/STOP time at OPR
The setting value of 'DEC/STOP time at OPR' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1334,"Setting range outside DEC/STOP time at OPR
The setting value of 'DEC/STOP time at OPR' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
077D,"Setting range outside setting for the movement amount after near-point dog ON
The setting value of 'Setting for the movement amount after near-point dog ON' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B65,"Setting range outside setting for the movement amount after near-point dog ON
The setting value of 'Setting for the movement amount after near-point dog ON' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F4D,"Setting range outside setting for the movement amount after near-point dog ON
The setting value of 'Setting for the movement amount after near-point dog ON' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1335,"Setting range outside setting for the movement amount after near-point dog ON
The setting value of 'Setting for the movement amount after near-point dog ON' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
077E,"Setting range outside stop mode during path control
The setting value of 'Stop mode during path control' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0B66,"Setting range outside stop mode during path control
The setting value of 'Stop mode during path control' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
0F4E,"Setting range outside stop mode during path control
The setting value of 'Stop mode during path control' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
1336,"Setting range outside stop mode during path control
The setting value of 'Stop mode during path control' is outside the setting range.","Change the setting to within the setting range and turn the PLC READY signal (Y0) from OFF to ON."
</ERRCODE>,,
