<GROUP>,,,
3E8-3FFF,CPU ユニットのエラー,CPU ユニットのユーザーズマニュアルを参照ください。,********.csv
4000-4FFF,CPU ユニットのエラー,CPU ユニットのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,,,ERR_QJ71E71.csv
E000-EFFF,,,ERR_QJ71GP21.csv
F000-FFFF,,,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
55,GX Developerの[PCパラメータ]→[内蔵Ethernetポート設定]にて，RUN中書込を許可しないときに，相手機器によりシーケンサCPUがRUN中にデータの書込みを要求した。,"・GX Developerの[PCパラメータ]→[内蔵Ethernetポート設定]にて，RUN中書込を許可する設定にして，データ書込みを行う。
・CPU ユニットをSTOPにしてデータを書き込む。",
0A8C,リモートパスワード不一致回数が上限に達した。,"不正アクセスか確認する。不正アクセスの場合，該当コネクションの通信禁止などの処置を行う。
不正アクセスで無い場合，エラーをクリアし下記項目を実施する。(エラーのクリアでリモートパスワード累積回数もクリアされる。)
・送信したリモートパスワードが正しいか確認する。
・リモートパスワードのロック処理が行われているか確認する。
・複数機器からUDPで1つのコネクションに同時アクセスしていないか確認する。
4197,システムエラー（OS内のコネクション処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4198,システムエラー（OS内のコネクション処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
4199,システムエラー（OS内のコネクション終了処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
419A,システムエラー（OS内のコネクション接続処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
419B,システムエラー（OS内のコネクション終了処理異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
419C,システムエラー（OS内の処理手順異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
419D,システムエラー（OS内の処理手順異常）。,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
419E,相手機器と接続できない。または切断された。,"・相手機器の動作を確認する。
・ケーブル，ハブ，ルータなど相手機器との回線の状態を確認する。
・通信中に発生した場合は，少し時間を置き，リトライする。"
419F,システムエラー（OS内のI/Oコントロール処理異常）,"・電源ユニット，CPUユニットが正しく装着されているか確認する。
・システムの使用環境が，CPUユニットの一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
・再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店，または支社に症状を説明し，ご相談ください。"
41A0,相手機器の受信エリアに空きがない（TCPのウィンドウサイズが0）ため，送信できない。,"・少し時間を置き，リトライする。
・相手機器の動作を確認する。
・相手機器側で受信処理が行われているか確認する。
・CPU ユニット側から不要なデータを送信していないか確認する。"
41A1,CPU ユニットのポート番号の設定値に誤りがある。,ポート番号を修正する。
41A2,相手機器のポート番号の設定値に誤りがある。,ポート番号を修正する。
41A3,"・TCP/IPにおいて，MCプロトコルと同じ自局ポート番号を指定した。
・TCP/IPにおいて，同一交信相手に対し，自局ポート番号と交信相手ポート番号が同じコネクションが，すでに使用されている。","・MCプロトコルで使用しているポート番号と重複しないポート番号を指定する。
・CPU ユニットおよび相手機器のポート番号を見直し，重複しないように修正する。"
41A4,"・UDP/IPにおいて，MCプロトコルと同じ自局ポート番号を指定した。
・UDP/IPにおいて，指定された自局ポート番号は重複して使用されている。","・MCプロトコルで使用しているポート番号と重複しないポート番号を指定する。
・CPU ユニットのポート番号を見直し，重複しないように修正する。"
41A5,オープン処理時の，相手機器のIPアドレスの設定値に誤りがある。,IPアドレスを修正する。クラスはA/B/Cにする。
41A6,TCPコネクションのオープン処理で，コネクションが確立されなかった。,"・相手機器の動作を確認する。
・相手機器のオープン処理を確認する。
・CPU ユニットのポート番号，相手機器のIPアドレス／ポート番号，オープン方法を見直す。
・接続ケーブルがはずれていないか確認する｡"
41A8,データ長が許容範囲を越えている。,"・データ長を修正する。
・送信するデータ量が規定量を越えているときは分割して送信する。"
41AB,TCPで再送タイムアウトにより送信に失敗した。,"・相手機器のIPアドレスとEthernetアドレスを見直し，修正する。
・相手機器にARP機能があるかどうかを確認し，ARP機能を持つ相手機器と交信する。
・相手機器の動作を確認する。
・回線でパケットが混み合っている場合があるので，任意の時間が経過後に送信する。
・接続ケーブルがはずれていないか確認する。"
41AC,相手機器の生存確認ができなかった。,"・相手機器の動作を確認する。
・接続ケーブルがはずれていないか確認する。"
41AD,ケーブルが未接続／断線のため，送信処理が行えない。,"・接続ケーブルがはずれていないか確認する。
・相手機器よりPINGテストを行い，回線に異常がないか確認する。
・自己診断テスト(CPU ユニットのリセットで実施)を行い，CPU ユニットに異常がないか確認する。
・送信をリトライする。"
41B4,コネクションNo.の指定に誤りがある。,"・コネクションNo.は，1～16で指定する。
・パラメータのオープン方式が'ソケット通信'になっているか確認する。"
41B6,指定されたコネクションはすでにオープン処理が完了している。,クローズ処理を行ってからオープン処理を行う。
41B7,指定されたコネクションはオープン処理が完了していない。,オープン処理が完了してから再度実行する。
41B9,"・コントロールデータの内容がおかしい。
・オープン設定パラメータが未設定なのに，オープン設定パラメータでのオープンを指定した。","・コントロールデータの内容を見直す。
・オープン設定パラメータを設定する。または，コントロールデータを指定してオープンを行う。"
41C1,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41C2,ファイルアクセス時のファイルオープン指定データに誤りがある。,指定データを確認後，再度実施する。
41C3,同時にアクセス可能なファイルがＭＡＸ を超えた。,ファイル操作を減少させて，再度実行する。
41C4,同時にアクセス可能なファイルがＭＡＸ を超えた。,ファイル操作を減少させて，再度実行する。
41C5,指定されたファイルが存在しない。,ファイルを確認後，再度実行する。
41C7,指定されたファイルまたはドライブ( メモリ）が存在しない。,ファイルまたはドライブ( メモリ）を確認後，再度実行する。
41C8,指定のファイルがすでに存在するファイルのファイルサイズの範囲を超えている。,"指定ファイルのサイズを確認後，再度実行する。
再度実行しても発生する場合は，ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41C9,"ファイルのセクタのアクセスに失敗した。
対象ドライブ（メモリ）のフォーマット情報のデータが異常。",CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。
41CA,"ファイルのセクタのアクセスに失敗した。
対象ドライブ（メモリ）のフォーマット情報のデータが異常。",CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。
41CB,ファイル名の指定方法に誤りがある。,ファイル名を確認後，再度実行する。
41CC,指定されたファイルが存在しない。または，指定のサブディレクトリが存在しない。,ファイル名，サブディレクトリ名を確認後，再度実行する。
41CD,ファイルのアクセスがシステムで禁止されている。,指定のファイルにはアクセスしない。
41CE,指定のファイルの属性が読出し専用のためファイル書込みできない。,指定されたファイルは書込み禁止。属性を確認後，再度実行する。
41CF,指定されたドライブ（メモリ）の容量がオーバーした。,ドライブ（メモリ）の容量を確認後，再度実行する。
41D0,指定されたドライブ（メモリ）に空きがない。または，指定されたドライブ（メモリ）のディレクトリ内のファイル数が最大を超えた。,"ドライブ（メモリ）の空き容量を増加し，再度実行する。
・ドライブ（メモリ）のファイルを削除し，再度実行する。"
41D1,ファイル名の指定方法に誤りがある。,"ファイル名を確認後，再度実行する。
再度実行しても発生する場合は，ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41D4,指定のファイルがすでに存在するファイルのファイルサイズの範囲を超えている。,"指定ファイルのサイズを確認後，再度実行する。
再度実行しても発生する場合は，ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41D5,同名のファイルが存在する。,要求を強制実行する，またはファイル名を変更して実行する。
41D6,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41D7,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41D8,指定のファイルにアクセス中である。,しばらくしてから再度実行する。
41DF,指定ドライブ（メモリ）がライトプロテクトされている。,指定ドライブ（メモリ）のライトプロテクトを解除し，再度実行する。
41E0,指定ドライブ（メモリ）が異常，または存在しない。,"・メモリカードが装着されているか確認後，再度実行する。
・データバックアップを実施後，PC メモリフォーマットを実行する。"
41E1,フラッシュROM のアクセスに失敗した。,"・データバックアップを実施後，PC 書込（フラッシュROM）を実行する。
・指定ドライブがフラッシュROM カードかメモリカードのサイズが合っているか確認後，再度実施する。"
41E4,メモリカードのアクセスに失敗した。,"・メモリカードが装着されているか確認後，再度実行する。
・メモリカードを交換して再度実行する。
・データバックアップを実施後，PC メモリフォーマットを実行する。"
41E7,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41E8,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41E9,指定のファイルにアクセス中である。,しばらくしてから再度実行する。
41EB,ファイル名の指定方法に誤りがある。,ファイル名を確認後，再度実行する。
41EC,指定ドライブ（メモリ）のファイルシステムが論理的に壊れている。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41ED,"指定ドライブ（メモリ）の連続空き容量がない。
（ファイルの空き容量は十分だが，連続空き領域が足りない。）",不要なファイルを削除またはPC メモリ整理を実施後，再度実行する。
41EF,指定ドライブ（メモリ）の電源断対策用バックアップの作成に失敗した。,メモリカードが装着されているか確認後，再度実行する。
41F0,指定ドライブ（メモリ）の電源断対策用バックアップデータが壊れている。,メモリカードが装着されているか確認後，再度実行する。
41F1,指定ドライブ（メモリ）の電源断対策用バックアップに修復コマンドがある。,メモリカードが装着されているか確認後，再度実行する。
41F2,指定ドライブ（メモリ）はフラッシュROMのため操作不可,"指定ドライブ（メモリ）を確認後，再度実行する。
フラッシュROM に対して操作する場合は，PC 書込( フラッシュROM）を使用する。"
41F3,指定したファイルのサイズが4Gbyte-2byteを超えている。,"作成・サイズ変更で指定するファイルサイズを小さくする。
または，複数ファイルに分割しファイルサイズを小さくして使用する。"
41F8,他のプログラミングツールで同一データへのアクセス中,"プログラムメモリへのPC 書込，バックアップメモリへの転送機能が実行されている。
上記機能の完了確認後，再度実行する。"
41F9,他のプログラミングツールで同一データへのアクセス中,"デバイスデータ退避中に再度デバイスデータ退避が実行されています。
上記完了後，再度実行する。"
41FA,プログラムが実行可能な領域を超えてプログラム書込みした。,すでに書き込まれているプログラム，または新規に書き込むプログラムのどちらかを小さくして，再度実行する。
41FB,同一のプログラミングツールですでに指定のファイルを操作中である。,現在実施中の操作が完了後，再度実施する。
41FC,使用中のドライブ（メモリ）をイレースしようとした。,指定ドライブ( メモリ）は使用中のため，イレース不可。
41FD,フラッシュROM にデータが書き込まれていない。,PC 書込( フラッシュROM）でファイルを書き込む。
41FE,メモリカードが挿入されていない。または，SDメモリカード使用停止スイッチを下方向にスライドしていない。,"・メモリカードを挿入する，または挿入し直す。
・SDメモリカード使用停止スイッチを下方向にスライドする。"
41FF,メモリカードの種類が違う。,メモリカードの種類を確認する。
4200,,
4201,,
4202
4203
4204
4210
4211
4212
4213
4214
4215
4216
4217
4218
4219
421A
421B
421C
421D
421E
421F
4240
4241
4242
4243
4244
4245
4246
4247
4248
4249
424A
424B
424C
424D
424E
424F
4250
4251
4252
4253
4254
4255
4256
4257
4258
4259
425B
425C
425D
4270,異なるメモリでデータロギング機能実施中(ロギング状態が実行中，ロギングデータ保存中，完了，一時停止，エラー状態)である。,現在データロギング機能実施中のメモリに登録するか，現在実施中のデータロギングを停止してから再度登録を行う。
4271,指定したデータロギングは実施中(ロギング状態が実行中，ロギングデータ保存中，完了，一時停止，エラー状態)である。,データロギングを停止する。または，データロギングを実施していない設定No.に対して書込み，削除，または登録を行う。
4272,トリガ条件として「デバイス」を指定したトリガロギングを実施中(ロギング状態が実行中，ロギングデータ保存中，完了，一時停止，エラー状態)である。,トリガ条件を変更して登録する。または，現在トリガ条件＝「デバイス」で実施中(ロギング状態が実行中，ロギングデータ保存中，完了，一時停止，エラー状態)のトリガロギングを停止してから登録する。
4273,サンプリングトレース機能実施中であるため，データロギング機能は実行不可である。,サンプリングトレースを中断してから，データロギングの登録を行う。
4274,トリガロギングの総レコード数が，データロギングバッファ容量で収集可能なレコード数を超えている。,"・データロギングバッファ容量を増やす。
・トリガロギングで設定するレコード数を減らす。"
4275,オートロギング実行中である。,オートロギング完了後，SDメモリカードを交換して再度実行する。
4276,指定コマンドは，データロギング機能実施中(ロギング状態が実行中，ロギングデータ保存中，完了，一時停止，エラー状態)であるため，実行不可である。,データロギングを停止してから，実行する。
4277,保存ファイル数が設定数以上存在する。,データロギング結果の格納先メモリで，設定した保存ファイル数を超えているため，ファイルを削除するか，保存先を変更してから登録を行う。
4278,保存ファイル番号が最大に達している，または達した。,データロギング結果の格納先メモリで，保存ファイル番号が最大のFFFFFFFFまで達している。ファイルを削除するか，保存先を変更してから登録を行う。
4279,,
427A,共通設定ファイルが存在しない。,"・対象メモリに共通設定を書き込む。
・共通設定が格納されているメモリに対してデータロギングの登録を行う。"
427B,ファイル保存先が同じデータロギング機能実施中(ロギング状態が実行中，ロギングデータ保存中，完了，一時停止，エラー状態)である。,"実施中の ファイルの保存先が同じデータロギングを停止してから，登録を行う。
または，ファイルの保存先を変更して登録する。"
4330,同一起動元により実行中のため，実行不可である,同一起動元でメモリカードによるCPU ユニット交換機能（バックアップ/リストア）を実施していないか確認後，再度実行する。
4332,指定コマンドは，メモリカードによるCPU ユニット交換機能（バックアップ/リストア）実施中であるため，実行不可である,メモリカードによるCPU ユニット交換機能（バックアップ/リストア）終了後，再度実行する。
4333,バックアップ開始準備が未完了である。,バックアップ開始準備完了後，再度実行する。
4334,バックアップファイルが存在しません。,バックアップファイルが存在するメモリカードを装着後，再度実行する。
4335,ラッチデータバックアップ中のため，指定の機能を実行できない。,ラッチデータバックアップ機能完了後，再度実行する。
4336,内蔵Ethernetポート経由でCPU ユニットにFTP接続中のFTPクライアントが存在するため，指定の機能を実行できない。,CPU ユニットへのFTP接続を全て切断してから，再度実行する。
4337,ユニットエラー履歴ファイルが存在しません。,電源OFF→ON，又はリセット後，再度実行する。
4338,ユニットエラー履歴表示画面の表示，又は更新時にユニットエラー履歴情報の読出しに失敗しました。,"・ユニットエラー履歴表示画面の表示，及び更新を再度実行する。
・ユニットエラー履歴格納件数を増やす。"
4339,ユニットエラー履歴収集機能が無効に設定されているため，ユニットエラー履歴情報を読み出せません。,ユニットエラー履歴収集機能を有効に設定後，再実行する。
4400,ファイルパスワード32が登録されているファイルを，パスワード解除なしの状態でオープンした。,正しいパスワードを設定後，パスワード認証を行ってアクセスする。
4401,"・読出しパスワード認証が必要なアクセス時に，ファイルパスワード32の読出しパスワード認証に失敗した。
・ファイルパスワード32のパスワード形式が間違っている。","・正しい読出しパスワードを設定後，パスワード認証を行ってアクセスする。
・ファイルパスワード32に対応したアクセス方法でファイルアクセスする。"
4402,"・書込みパスワード認証が必要なアクセス時に，ファイルパスワード32の書込みパスワード認証に失敗した。
・ファイルパスワード32のパスワード形式が間違っている。","・正しい書込みパスワードを設定後，パスワード認証を行ってアクセスする。
・ファイルパスワード32に対応したアクセス方法でファイルアクセスする。"
4403,登録/解除時に設定した読出しパスワード・書込みパスワードの両方が前回パスワードと不一致と認識したとき。,正しい読出し/書込みパスワードを設定後，パスワード認証を行ってアクセスする。
4404,登録/解除 前/後でファイルの異常を検出したとき。,"・PCフォーマットで対象ファイルを含むドライブをフォーマットする。
・対象ファイルを再度PC書込みした後，再度ファイルパスワード32登録/解除を行なう。"
4405,,
4406,,
4407,,
4A00,,
4A01,,
4A02,,
4A03,,
4B00,アクセス先または中継局で異常が発生している，または指定の接続先指定( 要求先ユニット入出力番号）が不正である。,"・指定したアクセス先またはアクセス局への中継局で発生しているエラーを確認し，処置する。
・MC プロトコルなどの要求データの接続先指定( 要求先ユニット入出力番号，またはPC 番号）を確認する。"
4B01,,
4B02,CPU ユニット宛ての要求でない。,指定の機能が実施可能なユニットに対して操作を実施する。
4B03,"・指定の経路は，指定したCPU ユニットのバージョンではサポートしていない。
・通信対象のCPU が装着されていない。",指定の経路がサポート内の経路か確認する。
4B04,,
4C00,,
4C08,,
4C09,,
C050,CPU ユニット の交信データコード設定で，ASCII コード交信を設定時，バイナリコードに変換できないASCII コードのデータを受信した。,"・交信データコード設定でバイナリコード交信を設定し，再度CPU ユニットを立上げて交信する。
・相手機器からの送信データを修正し，送信する。"
C051,読出し／書込み点数が許容範囲外である。,読出し／書込み点数を修正し，再度CPU ユニットへ送信する。
C052,読出し／書込み点数が許容範囲外である。,読出し／書込み点数を修正し，再度CPU ユニットへ送信する。
C053,読出し／書込み点数が許容範囲外である。,読出し／書込み点数を修正し，再度CPU ユニットへ送信する。
C054,読出し／書込み点数が許容範囲外である。,読出し／書込み点数を修正し，再度CPU ユニットへ送信する。
C056,最大アドレスを越える読出し／書込み要求である。,"先頭アドレスまたは，読出し／書込み点数を修正し，再度CPU ユニットへ送信する。
（最大アドレスを越えないようにする。）"
C058,ASCII－バイナリ変換後の要求データ長が，キャラクタ部（テキストの一部）のデータ数と合わない。,テキスト部の内容，またはヘッダ部の要求データ長を見直して修正後，再度CPU ユニットへ送信する。
C059,"・コマンド，サブコマンドの指定に誤りがある。
・CPU ユニットでは使用不可のコマンド，サブコマンドである。","・要求内容を見直す。
・CPU ユニットで使用できるコマンド，サブコマンドを送信する。"
C05B,指定デバイスに対して，CPU ユニットは読出し／書込みできない。,読出し／書込みするデバイスを見直す。
C05C,要求内容に誤りがある。（ワードデバイスに対するビット単位の読出し／書込みなど）,要求内容を修正し，再度CPU ユニットへ送信する。（サブコマンドの修正など）
C05D,モニタ登録されていない。,モニタ登録してからモニタを行う。
C05F,対象シーケンサに対して，実行できない要求である。,"・ネットワーク番号，PC番号，要求先ユニットI/O番号，要求先ユニット局番号を修正する。
・読出し／書込み要求の内容を修正する。"
C060,要求内容に誤りがある。（ビットデバイスに対するデータの指定に誤りがあるなど）,要求内容を修正し，再度CPU ユニットへ送信する。（データの修正など）
C061,要求データ長が，キャラクタ部（テキストの一部）のデータ数と合わない。,テキスト部の内容，またはヘッダ部の要求データ長を見直して修正後，再度CPU ユニットへ送信する。
C06F,"交信データコード設定がバイナリのとき，ASCII の要求伝文を受信した。または，設定がASCII のときバイナリの要求伝文を受信した。
（本エラーコードは，エラー履歴のみ登録され，異常応答は返らない。）","・交信データコード設定にあった要求伝文を送信する。
・要求伝文にあった交信データコード設定に変更する。"
C070,対象局に対しては，デバイスメモリの拡張指定はできない。,拡張指定をしないで，読出し／書込みする。
C0B5,CPU ユニットまたは，Ethernetユニットで扱えないデータが指定された。,"・要求内容を見直す。
・現在の要求は中止する。"
C200,リモートパスワードに誤りがある。,リモートパスワードを見直し，リモートパスワードのアンロック処理／ロック処理を再実行する。
C201,交信に使ったポートがリモートパスワードのロック状態である。または，交信データコード設定がASCIIコードのとき，リモートパスワードのロック状態であるため，サブコマンド以降をバイナリコードへ変換できない。,リモートパスワードのアンロック処理を実行した後，交信を行う。
C204,リモートパスワードのアンロック処理を要求した機器と異なる。,リモートパスワードのアンロック処理を要求した相手機器からリモートパスワードのロック処理を要求する。
</ERRCODE>,,
