<GROUP>,,,
3E8-3FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
4000-4FFF,CPUのエラー,CPUのユーザーズマニュアルを参照ください。,********.csv
7000-7FFF,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットなどのエラー,シリアルコミュニケーションユニット，インテリジェントコミュニケーションユニットのマニュアルを参照ください。,ERR_QJ71C24.csv
B000-BFFF,CC-Linkユニットのエラー,CC-Linkユニットのエラーを参照ください。,ERR_QJ61BT11.csv
C000-CFFF,Ethernetユニット，FL-netユニットなどのエラー,Ethernetユニット，FL-netユニットなどのマニュアルを参照ください。,ERR_QJ71E71.csv
E000-EFFF,MELSECNET/Gユニットのエラー,MELSECNET/Gユニットのマニュアルを参照ください。,ERR_QJ71GP21.csv
F000-FFFF,MELSECNET/Hユニット，MELSECNET/10ユニットなどのエラー,MELSECNET/Hユニット，MELSECNET/10ユニットなどのマニュアルを参照ください。,ERR_QJ71LP21.csv
</GROUP>,,,
<ERRCODE>,,,
0055,GX Developerの[PCパラメータ]→[内蔵Ethernetポート設定]にて，RUN中書込を許可しないときに，相手機器によりシーケンサCPUがRUN中にデータの書込みを要求した。,"・GX Developerの[PCパラメータ]→[内蔵Ethernetポート設定]にて，RUN中書込を許可する設定にして，データ書込みを行う。
・CPUユニットをSTOPにしてデータを書き込む。",
0A8C,リモートパスワード不一致回数が上限に達した。,"不正アクセスか確認する。不正アクセスの場合，該当コネクションの通信禁止などの処置を行う。
不正アクセスで無い場合，エラーをクリアし下記項目を実施する。(エラーのクリアでリモートパスワード累積回数もクリアされる。)
・送信したリモートパスワードが正しいか確認する。
・リモートパスワードのロック処理が行われているか確認する。
・複数機器からUDPで1つのコネクションに同時アクセスしていないか確認する。
4193,システムエラー（OS内の送信処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
4194,システムエラー（OS内の送信処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
4195,システムエラー（OS内の送信処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
4196,システムエラー（OS内の送信処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
4197,システムエラー（OS内のコネクション処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
4198,システムエラー（OS内のコネクション処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
4199,システムエラー（OS内のコネクション終了処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
419A,システムエラー（OS内のコネクション接続処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
419B,システムエラー（OS内のコネクション終了処理異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
419C,システムエラー（OS内の処理手順異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
419D,システムエラー（OS内の処理手順異常）。,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
419E,相手機器と接続できない。または切断された。,"・相手機器の動作を確認する。
・ケーブル，ハブ，ルータなど，相手機器との回線の状態を確認する。
・通信中に発生した場合は，少し時間を置き，リトライする。"
419F,システムエラー（OS内のI/Oコントロール処理異常）,"・電源ユニット，シーケンサCPUがベースユニットに正しく装着されているか確認する。
・システムの使用環境が，シーケンサCPU の一般仕様の範囲内か確認する。
・電源容量が足りているか確認する。
・CPU ユニットをリセットする。
再度同じエラーを表示した場合は，CPU ユニットのハードウェア異常であるため，最寄りのシステムサービス，代理店または支社に症状を説明し，相談ください。"
41A0,相手機器の受信エリアに空きがない（TCPのウィンドウサイズが0）ため、送信できない。,"・少し時間を置き、リトライする。
・相手機器の動作を確認する。
・相手機器側で受信処理が行われているか確認する。
・QnUDE(H)CPU側から不要なデータを送信していないか確認する。"
41A1,QnUDE(H)CPUのポート番号の設定値に誤りがある。,ポート番号を修正する。
41A2,相手機器のポート番号の設定値に誤りがある。,ポート番号を修正する。
41A3,"・TCP/IPにおいて，MCプロトコルと同じ自局ポート番号を指定した。
・TCP/IPにおいて，同一交信相手に対し，自局ポート番号と交信相手ポート番号が同じコネクションが，すでに使用されている。","・MCプロトコルで使用しているポート番号と重複しないポート番号を指定する。
・QnUDE(H)CPUおよび相手機器のポート番号を見直し，重複しないように修正する。"
41A4,"・UDP/IPにおいて，MCプロトコルと同じ自局ポート番号を指定した。
・UDP/IPにおいて，指定された自局ポート番号は重複して使用されている。","・MCプロトコルで使用しているポート番号と重複しないポート番号を指定する。
・QnUDE(H)CPUのポート番号を見直し，重複しないように修正する。"
41A5,オープン処理時の，相手機器のIPアドレスの設定値に誤りがある。,IPアドレスを修正する。クラスはA/B/Cにする。
41A6,TCPコネクションのオープン処理で，コネクションが確立されなかった。,"・相手機器の動作を確認する。
・相手機器のオープン処理を確認する。
・QnUDE(H)CPUのポート番号，相手機器のIPアドレス／ポート番号，オープン方法を見直す。
・接続ケーブルがはずれていないか確認する｡"
41A8,データ長が許容範囲を越えている。,"・データ長を修正する。
・送信するデータ量が規定量を越えているときは分割して送信する。"
41AB,TCPで再送タイムアウトにより送信に失敗した。,"・相手機器のIPアドレスとEthernetアドレスを見直し，修正する。
・相手機器にARP機能があるかどうかを確認し，ARP機能を持つ相手機器と交信する。
・相手機器の動作を確認する。
・回線でパケットが混み合っている場合があるので，任意の時間が経過後に送信する。
・接続ケーブルがはずれていないか確認する。"
41AC,相手機器の生存確認ができなかった。,"・相手機器の動作を確認する。
・接続ケーブルがはずれていないか確認する。"
41AD,ケーブルが未接続／断線のため，送信処理が行えない。,"・接続ケーブルがはずれていないか確認する。
・相手機器よりPINGテストを行い，回線に異常がないか確認する。
・自己診断テスト(QnUDE(H)CPUのリセットで実施)を行い，QnUDE(H)CPUに異常がないか確認する。
・送信をリトライする。"
41B4,コネクションNo.の指定に誤りがある。,"・コネクションNo.は，1～16で指定する。
・パラメータのオープン方式が'ソケット通信'になっているか確認する。"
41B6,指定されたコネクションはすでにオープン処理が完了している。,クローズ処理を行ってからオープン処理を行う。
41B7,指定されたコネクションはオープン処理が完了していない。,オープン処理が完了してから再度実行する。
41B9,"・コントロールデータの内容がおかしい。
・オープン設定パラメータが未設定なのに、オープン設定パラメータでのオープンを指定した。","・コントロールデータの内容を見直す。
・オープン設定パラメータを設定する、または、コントロールデータを指定してオープンを行う。"
41C1,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41C2,ファイルアクセス時のファイルオープン指定データに誤りがある。,指定データを確認後，再度実施する。
41C3,同時にアクセス可能なファイルがＭＡＸ を超えた。,ファイル操作を減少させて，再度実行する。
41C4,同時にアクセス可能なファイルがＭＡＸ を超えた。,ファイル操作を減少させて，再度実行する。
41C5,指定されたファイルが存在しない。,ファイルを確認後，再度実行する。
41C7,指定されたファイルまたはドライブ( メモリ）が存在しない。,ファイルまたはドライブ( メモリ）を確認後，再度実行する。
41C8,指定のファイルがすでに存在するファイルの範囲をオーバーしている。,"指定ファイルのサイズを確認後，再度実行する。
再度実行しても発生する場合は，ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41C9,"ファイルのセクタのアクセスに失敗した。
対象ドライブ（メモリ）のフォーマット情報のデータが異常。",CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。
41CA,"ファイルのセクタのアクセスに失敗した。
対象ドライブ（メモリ）のフォーマット情報のデータが異常。",CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。
41CB,ファイル名の指定方法に誤りがある。,ファイル名を確認後，再度実行する。
41CC,指定されたファイルが存在しない。,ファイルを確認後，再度実行する。
41CD,ファイルのアクセスがシステムで禁止されている。,指定のファイルにはアクセスしない。
41CE,指定のファイルの属性が読出し専用のためファイル書込みできない。,指定されたファイルは書込み禁止。属性を確認後，再度実行する。
41CF,指定されたドライブ（メモリ）の容量がオーバーした。,ドライブ（メモリ）の容量を確認後，再度実行する。
41D0,指定されたドライブ（メモリ）に空きがない。,ドライブ（メモリ）の空き容量を増加し，再度実行する。
41D1,ファイル名の指定方法に誤りがある。,"ファイル名を確認後，再度実行する。
再度実行しても発生する場合は，ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41D4,指定のファイルがすでに存在するファイルの範囲をオーバーしている。,"指定ファイルのサイズを確認後，再度実行する。
再度実行しても発生する場合は，ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41D5,同名のファイルが存在する。,要求を強制実行する，またはファイル名を変更して実行する。
41D6,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41D7,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41D8,指定のファイルにアクセス中である。,しばらくしてから再度実行する。
41DF,指定ドライブ（メモリ）がライトプロテクトされている。,指定ドライブ（メモリ）のライトプロテクトを解除し，再度実行する。
41E0,指定ドライブ（メモリ）が異常，または存在しない。,"・メモリカードが装着されているか確認後，再度実行する。
・データバックアップを実施後，PC メモリフォーマットを実行する。"
41E1,フラッシュROM のアクセスに失敗した。,"・データバックアップを実施後，PC 書込（フラッシュROM）を実行する。
・指定ドライブがフラッシュROM カードかメモリカードのサイズが合っているか確認後，再度実施する。"
41E4,メモリカードのアクセスに失敗した。,"・メモリカードが装着されているか確認後，再度実行する。
・メモリカードを交換して再度実行する。
・データバックアップを実施後，PC メモリフォーマットを実行する。"
41E7,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41E8,指定ドライブ（メモリ）のフォーマット情報のデータが異常である。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41E9,指定のファイルにアクセス中である。,しばらくしてから再度実行する。
41EB,ファイル名の指定方法に誤りがある。,ファイル名を確認後，再度実行する。
41EC,指定ドライブ（メモリ）のファイルシステムが論理的に壊れている。,"ファイル情報のデータが壊れている可能性がある。
CPU ユニット内部のデータバックアップを実施後，PCメモリフォーマットを実行する。"
41ED,"指定ドライブ（メモリ）の連続空き容量がない。
（ファイルの空き容量は十分だが，連続空き領域が足りない。）",不要なファイルを削除またはPC メモリ整理を実施後，再度実行する。
41EF,指定ドライブ（メモリ）の電源断対策用バックアップの作成に失敗した。,メモリカードが装着されているか確認後，再度実行する。
41F0,指定ドライブ（メモリ）の電源断対策用バックアップデータが壊れている。,メモリカードが装着されているか確認後，再度実行する。
41F1,指定ドライブ（メモリ）の電源断対策用バックアップに修復コマンドがある。,メモリカードが装着されているか確認後，再度実行する。
41F2,指定ドライブ（メモリ）はフラッシュROMのため操作不可,"指定ドライブ（メモリ）を確認後，再度実行する。
フラッシュROM に対して操作する場合は，PC 書込( フラッシュROM）を使用する。"
41F8,他の周辺機器で同一データへのアクセス中,"プログラムメモリへのPC 書込，バックアップメモリへの転送機能が実行されている。
上記機能の完了確認後，再度実行する。"
41FA,プログラムが実行可能な領域を超えてプログラム書込みした。,すでに書き込まれているプログラム，または新規に書き込むプログラムのどちらかを小さくして，再度実行する。
41FB,同一の周辺機器ですでに指定のファイルを操作中である。,現在実施中の操作が完了後，再度実施する。
41FC,使用中のドライブ（メモリ）をイレースしようとした。,指定ドライブ( メモリ）は使用中のため，イレース不可。
41FD,フラッシュROM にデータが書き込まれていない。,PC 書込( フラッシュROM）でファイルを書き込む。
41FE,メモリカードが挿入されていない。,メモリカードを挿入する，または挿入し直す。
41FF,メモリカードの種類が違う。,メモリカードの種類を確認する。
4200,マルチCPU 設定パラメータのオンラインユニット交換設定が不許可のため，要求内容を実行できない。,エラーが発生した要求を行わない，またはマルチCPU設定パラメータのオンラインユニット交換設定を許可にした後，再度要求を実行する。
4201,マルチCPU 設定パラメータのオンラインユニット交換設定が許可のため，要求内容を実行できない。,エラーが発生した要求を行わない，またはマルチCPU設定パラメータのオンラインユニット交換設定を不許可にした後，再度要求を実行する。
4202,オンラインユニット交換中のため，要求内容を実行できない。,オンラインユニット交換完了後，再度要求を実行する。
4203,増設ベースユニットが装着されているため，基本ベースユニットに装着されているユニットのオンラインユニット交換を実行できない。,"基本ベースユニットに装着されているユニットを交換する場合，以下の手順で行う。
・交換対象ユニットが装着されている系を待機系へ切替える。
・待機系の電源をOFF する。
・対象ユニットを交換する。"
4204,待機系に接続しているため，指定したユニットのオンラインユニット交換を実行できない。,接続先を制御系に変更し，再度オンラインユニット交換操作を行う。
4210,指定したユニットの先頭入出力番号が範囲外である。,オンラインユニット交換を行うユニットの先頭入出力番号で要求を実行する。
4211,オンラインユニット交換の要求が異常である。,要求したコマンドを確認する。
4212,すでに他の機器がオンラインユニット交換を実行中である。,オンラインユニット交換完了後，再度要求を実行する，または接続経路を変更して続行する。
4213,指定された先頭入出力番号はオンラインユニット交換で登録された先頭入出力番号と異なる。,オンラインユニット交換中のユニットの先頭入出力番号で要求を実行する。
4214,指定したユニットはオンラインユニット交換前のユニットと異なる。,交換前と同じユニットを装着後，再度要求を実行する。
4215,指定したユニットが存在しない。,オンラインユニット交換を行うユニットの先頭入出力番号で要求を実行する，またはユニットを装着後，再度要求を実行する。
4216,指定したユニットが不良である。,ユニットを交換後，再度要求を実行する。
4217,指定したユニットからの応答がない。,オンラインユニット交換操作を続行する。
4218,指定したユニットはオンラインユニット交換未対応のユニットである。,エラーが発生したユニットに対して要求を行わない，またはオンラインユニット交換に対応しているユニットに対して再度要求を実行する。
4219,指定したユニットは電源ユニット不要タイプの増設ベースユニットに装着されている。,電源ユニット不要タイプの増設ベースユニットおよび基本ベースユニットに装着されているユニットに対して要求を行わない。
421A,指定したユニットは管理グループ外である。,指定したユニットを管理しているCPU ユニットに対して要求を実行する。
421B,インテリジェント機能ユニットの初期設定パラメータの設定でエラーが発生した。,インテリジェント機能ユニットのバッファメモリの内容を確認後，処理再開する。
421C,パラメータファイルが書き換えられているため実行不可。,操作を実施することはできない。操作を中断する。
421D,オンラインユニット交換中に系切替えが発生した。,GX Developer を新制御系に接続して，オンラインユニット交換の状況を確認する。オンラインユニット交換の状況に応じて，オンラインユニット交換の手順を実行する。
421E,待機系にオンラインユニット交換の情報を送信できなかった。オンラインユニット交換中に系切替えが発生した場合，オンラインユニット交換を継続できない可能性がある。,"トラッキングケーブルの異常，または待機系の異常が考えられる。
・トラッキングケーブルの装着状況を点検するか，トラッキングケーブルを交換する。
・待機系の状態を確認し，待機系が停止エラーを検出している時にはトラブルシューティングを行う。"
421F,セパレートモードでは，接続先を待機系に設定している状態で，増設ベースユニットに装着されているユニットのオンラインユニット交換を実行できない。,"・プログラミングツールの接続先を現在の制御系に設定する。
・増設ベースユニットに装着されているユニットのオンラインユニット交換を再実行する。"
4240,"待機系に対して以下の未サポートの操作を実行した。
・運転モード変更
・系切替え
・制御系から待機系へのメモリコピー機能",接続先指定を制御系に変更して，再度操作を実施する。
4241,待機系が電源OFF，リセット，ユーザウォッチドッグエラー，CPU ユニットのハードウェア異常状態により通信できない。,待機系の電源ON またはリセット解除後に通信要求する。
4242,トラッキングケーブルの異常，または抜けにより待機系と通信できない。,トラッキングケーブル抜け，またはトラッキングケーブル故障のため実行できない。トラッキングケーブル抜けの確認，または正常なトラッキングケーブルに交換して再度実行する。
4243,待機系が停止エラーのため，コマンドを実行できない。,待機系の停止エラーを取り除き，再度実行する。
4244,待機系と動作状態が異なるため，コマンドを実行できない。,待機系を制御系と同じ動作状態（RUN/STOP) にし，再度実行する。
4245,他系CPU ユニット状態異常,他系CPU ユニットが正常に立ち上がっていることと，トラッキングケーブルが接続されていることを確認する。
4246,運転モード（セパレート／バックアップ）変更，または系（制御／待機系）切替え実行中のため，コマンドを実行できない。,現在実行中の運転モード変更，または系切替えが完了してから，再度実行する。
4247,すでに制御系から待機系へのメモリコピー機能を実行中である。,"制御系から待機系へのメモリコピーが完了してから，再度実行する。
以下を確認し，処置する。
・制御系または待機系のSM1596 はON か？
（ON：メモリコピー実行中）
SM1596 はメモリコピー完了でシステムがOFF するため，OFF 後に再度実行する。
・制御系のSM1597 はON か？
（ON：メモリコピー完了）
実行前に制御系のSM1597 をOFF してから，再度実行する。"
4248,"・系切替え中に交信が行われた。
・接続先指定（要求先ユニットI/O 番号）で指定した系が存在しません。","・系切替え後に再度実行する。
・指定した系が存在するか確認後，再度交信する。"
4249,"二重化システムとして確立していない
（制御系／待機系またはA 系／ B 系が未確定）","・二重化システムとして正常起動させる。
( 系を確定させたあと，再度交信を行う。)
・接続先指定( 要求先ユニット入出力番号）を系指定なし（03FFH）に変更して再度実行する。"
424A,接続先指定( 要求先ユニット入出力番号）＝制御系／待機系指定／ A 系／ B 系で，処理不可なコマンドを実行した。,接続先指定( 要求先ユニット入出力番号）を系指定なし（03FFH）に変更して再度実行する。
424B,手動切替え許可フラグ（SM1592）で系切替えが禁止されているため，コマンドを実行できない。,手動切替え許可フラグ（SM1592）で系の手動切替えが禁止されている。SM1592 をON して再度実行する。
424C,RUN 中書込操作中のため，指定のコマンドを実行できない。,RUN 中書込操作が終わってから，再度実行する。
424D,デバッグモードで使用不可な接続先指定，または機能が使用された。,"・バックアップモードに切り替えて再度実行する。
・接続先指定( 要求先ユニット入出力番号）をA 系，または制御系指定に変更して再度実行する。"
424E,制御系／待機系の指定方法が未サポートである。,本機能は未サポートのため実行不可
424F,GX Developer による系切替え実行中に他の要因によって系切替えが実行された。,GX Developer から系切替えを実施したが，他の要因で系切替えが先に実施された。システムに問題がないか確認し，必要に応じて再度操作を実行する。
4250,トラッキング通信でサムチェックエラーが発生した。,"トラッキングケーブルを交換して再度交信を実行する。
トラッキングケーブルを交換しても再度同じエラーが発生する場合は，CPU ユニットのハードウェア異常。（最寄りのシステムサービス，代理店または支社に症状を説明し，ご相談ください。）"
4251,セパレートモードでは実行不可のコマンドである。,バックアップモードに切り替えて再度実行する。
4252,待機系の二重化システム対応のネットワークユニットで異常が発生しているため，系切替えが実行されなかった。,SD1690（他系のネットワークユニットからの系切替え要求発行ユニットNo.）をモニタすることで，異常の発生している待機系の二重化対応インテリユニットを特定後，ユニットの異常を取り除き，再度実行する。
4253,制御系CPU ユニットへのRUN 中書込中に通信異常，または系切替えが発生したため，待機系CPU ユニットへのRUN 中書込が実行できない。,"制御系CPU ユニットへのRUN 中書込を実行している間に通信異常，または系切替えが発生したため，RUN中書込二重化追従が中断した。
制御系CPU ユニット，待機系CPU ユニットとの通信が正常にできることを確認して再度RUN 中書込を実行する。
GX Developer と制御系CPU ユニット，待機系CPUユニットとの通信時間が長い場合には，SD1710( 待機系RUN 中書込開始待ち時間) を調整することでエラーを回避できる場合がある。"
4254,トラッキング通信用ハードウェアで異常が検出されたため，コマンドが実行できない。,"トラッキングケーブルが正しく装着されていないかCPU ユニットのトラッキング通信用ハードウェアが故障の可能性がある。トラッキングケーブルの装着状態を確認する。
ケーブル装着状態を見直しても復旧しない場合は，CPU ユニットのハードウェア異常の可能性がある。"
4255,トラッキング通信準備中のため，コマンドが実行できない。,トラッキングケーブル装着時のトラッキング通信準備中の状態。しばらく（約１秒）してから操作を再度実行する。
4256,トラッキング通信でタイムアウトエラーが発生したため，コマンドが実行できない。,"トラッキングケーブルが正しく装着されていないかCPU ユニットのトラッキング通信用ハードウェアが故障の可能性がある。トラッキングケーブルの装着状態を確認する。
ケーブル装着状態を見直しても復旧しない場合は，CPU ユニットのハードウェア異常の可能性がある。"
4257,自系CPU ユニットがユーザウォッチドッグエラーまたはCPU ユニットのハードウェア異常状態のため，コマンドを実行できない。,自系がユーザウォッチドッグエラーまたはCPU ユニットのハードウェア異常状態のため，コマンドを実行できない。自系の状態を確認して再度実行する。
4258,運転モード変更中（バックアップモード→セパレートモード）,RUN LED が点滅しているCPU ユニットのRUN/STOP スイッチ，またはリモート操作によりSTOP →RUN して運転モード変更を完了してから再度実行する。
4259,他の周辺機器から現在と異なる通信経路で運転モード変更を実施中である。,運転モード変更を実施した通信経路と同一の通信経路で再度実行する。
425B,増設ベースユニットに装着したインテリジェント機能ユニット経由で交信を行ったが，接続先指定( 二重化CPU指定) とコマンドの組合せが未サポートである。,接続先指定とコマンドの組合せをサポート内の組合せにする。
425C,増設ベースユニットに装着されたユニットのオンラインユニット交換を実施中のため，系切替えができない。,オンラインユニット交換を完了してから，系切替えを行う。
425D,増設ベースユニットに装着されたユニットのオンラインユニット交換を実施中のため，運転モードを変更できない。,オンラインユニット交換を完了してから，運転モード変更を行う。
4A00,"・起動元CPU ユニット，中継CPU ユニットにルーチングパラメータが設定されていないため，指定局へアクセスできない。
・マルチCPU システムを経由した中継を行う場合，データを中継するネットワークユニットの管理CPU が起動していない。
・二重化システム構成時，A 系／ B 系未確定時にネットワークユニット経由他局への通信を実施した。","・指定局へアクセスするためのルーチングパラメータを，関係局へ設定する。
・しばらくしてからリトライする，またはデータを中継するシステムの起動を確認後，交信を開始する。
・二重化システム構成時，トラッキングケーブルを装着して，A 系／ B 系を正常に起動させてから再度交信を行ってください。"
4A01,ルーチングパラメータに設定されているNo.のネットワークが存在しない。,関係局に設定されているルーチングパラメータを確認し，修正する。
4A02,指定局へアクセスできない。,"・ネットワークユニット／リンクユニットに異常が発生していないか，オフラインになっていないか確認する。
・ネットワーク番号，PC 番号の設定にミスはないか確認する。"
4A03,ネットワークテスト用の要求を実施した。,MC プロトコルなどの要求データを確認する。
4B00,アクセス先または中継局で異常が発生している，または指定の接続先指定( 要求先ユニット入出力番号）が不正である。,"・指定したアクセス先またはアクセス局への中継局で発生しているエラーを確認し，処置する。
・MC プロトコルなどの要求データの接続先指定( 要求先ユニット入出力番号，またはPC 番号）を確認する。"
4B01,対象がマルチCPU の１号機でない。,マルチCPU の1 号機に対して要求を実行する。
4B02,CPU ユニット宛ての要求でない。,指定の機能が実施可能なユニットに対して操作を実施する。
4B03,"・指定の経路は，指定したCPU ユニットのバージョンではサポートしていない。
・通信対象のCPU が装着されていない。",指定の経路がサポート内の経路か確認する。
4B04,指定の接続先指定( 要求先ユニット入出力番号）がサポート外である。,相手先指定で対象ユニットの先頭入出力番号に不正な値が設定されている。
4C00,指定されたデバイスがモーションCPU で使用できない，またはデバイス範囲外である。,要求データの内容を確認する。
4C08,DDWR，DDRD 要求が合わせて同時に33 以上ある。,同時に実行するDDWR，DDRD 要求の数を減少させて，再度実行する。
4C09,要求のCPU ユニット号機番号の指定が不正である。,要求データの内容を確認する。
C050,QnUDE(H)CPU の交信データコード設定で，ASCII コード交信を設定時，バイナリコードに変換できないASCII コードのデータを受信した。,"・交信データコード設定でバイナリコード交信を設定し，再度QnUDE(H)CPUを立上げて交信する。
・相手機器からの送信データを修正し，送信する。"
C051,読出し／書込み点数が許容範囲外である。,読出し／書込み点数を修正し，再度QnUDE(H)CPUへ送信する。
C052,読出し／書込み点数が許容範囲外である。,読出し／書込み点数を修正し，再度QnUDE(H)CPUへ送信する。
C053,読出し／書込み点数が許容範囲外である。,読出し／書込み点数を修正し，再度QnUDE(H)CPUへ送信する。
C054,読出し／書込み点数が許容範囲外である。,読出し／書込み点数を修正し，再度QnUDE(H)CPUへ送信する。
C056,最大アドレスを越える読出し／書込み要求である。,"先頭アドレスまたは，読出し／書込み点数を修正し，再度QnUDE(H)CPUへ送信する。
（最大アドレスを越えないようにする。）"
C058,ASCII－バイナリ変換後の要求データ長が，キャラクタ部（テキストの一部）のデータ数と合わない。,テキスト部の内容，またはヘッダ部の要求データ長を見直して修正後，再度QnUDE(H)CPUへ送信する。
C059,"・コマンド，サブコマンドの指定に誤りがある。
・QnUDE(H)CPUでは使用不可のコマンド，サブコマンドである。","・要求内容を見直す。
・QnUDE(H)CPUで使用できるコマンド，サブコマンドを送信する。"
C05B,指定デバイスに対して，QnUDE(H)CPUは読出し／書込みできない。,読出し／書込みするデバイスを見直す。
C05C,要求内容に誤りがある。（ワードデバイスに対するビット単位の読出し／書込みなど）,要求内容を修正し，再度QnUDE(H)CPUへ送信する。（サブコマンドの修正など）
C05D,モニタ登録されていない。,モニタ登録してからモニタを行う。
C05F,対象シーケンサに対して，実行できない要求である。,"・ネットワーク番号，PC番号，要求先ユニットI/O番号，要求先ユニット局番号を修正する。
・読出し／書込み要求の内容を修正する。"
C060,要求内容に誤りがある。（ビットデバイスに対するデータの指定に誤りがあるなど）,要求内容を修正し，再度QnUDE(H)CPUへ送信する。（データの修正など）
