<GROUP>,,
</GROUP>,,
<ERRCODE>,,
36FF,"The node No. (MAC ID) value is out of range.
The mode switch value is out of range.","Set the node No. within the range of 0 to 63.
Set the mode switch to any other than D to F."
2425,"(The node No.37)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2426,"(The node No.38)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2427,"(The node No.39)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2428,"(The node No.40)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2429,"(The node No.41)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
242A,"(The node No.42)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
242B,"(The node No.43)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
242C,"(The node No.44)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
242D,"(The node No.45)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
242E,"(The node No.46)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
242F,"(The node No.47)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2430,"(The node No.48)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2431,"(The node No.49)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2432,"(The node No.50)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2433,"(The node No.51)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2434,"(The node No.52)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2435,"(The node No.53)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2436,"(The node No.54)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2437,"(The node No.55)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2438,"(The node No.56)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2439,"(The node No.57)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
243A,"(The node No.58)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
243B,"(The node No.59)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
243C,"(The node No.60)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
243D,"(The node No.61)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
243E,"(The node No.62)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
243F,"(The node No.63)
The input data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct input data size.
2500,"(The node No.00)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2501,"(The node No.01)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2502,"(The node No.02)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2503,"(The node No.03)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2504,"(The node No.04)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2505,"(The node No.05)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2506,"(The node No.06)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2507,"(The node No.07)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2508,"(The node No.08)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2509,"(The node No.09)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
250A,"(The node No.10)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
250B,"(The node No.11)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
250C,"(The node No.12)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
250D,"(The node No.13)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
250E,"(The node No.14)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
250F,"(The node No.15)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2510,"(The node No.16)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2511,"(The node No.17)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2512,"(The node No.18)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2513,"(The node No.19)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2514,"(The node No.20)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2515,"(The node No.21)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2516,"(The node No.22)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2517,"(The node No.23)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2518,"(The node No.24)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2519,"(The node No.25)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
251A,"(The node No.26)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
251B,"(The node No.27)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
251C,"(The node No.28)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
251D,"(The node No.29)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
251E,"(The node No.30)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
251F,"(The node No.31)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2520,"(The node No.32)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2521,"(The node No.33)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2522,"(The node No.34)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2523,"(The node No.35)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2524,"(The node No.36)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2525,"(The node No.37)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2526,"(The node No.38)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2527,"(The node No.39)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2528,"(The node No.40)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2529,"(The node No.41)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
252A,"(The node No.42)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
252B,"(The node No.43)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
252C,"(The node No.44)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
252D,"(The node No.45)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
252E,"(The node No.46)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
252F,"(The node No.47)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2530,"(The node No.48)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2531,"(The node No.49)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2532,"(The node No.50)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2533,"(The node No.51)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2534,"(The node No.52)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2535,"(The node No.53)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2536,"(The node No.54)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2537,"(The node No.55)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2538,"(The node No.56)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2539,"(The node No.57)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
253A,"(The node No.58)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
253B,"(The node No.59)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
253C,"(The node No.60)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
253D,"(The node No.61)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
253E,"(The node No.62)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
253F,"(The node No.63)
The output data size set with a parameter is different from the size for the actual slave node.",Check the slave node manual and set the correct output data size.
2600,"(The node No.00)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2601,"(The node No.01)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2602,"(The node No.02)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2603,"(The node No.03)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2604,"(The node No.04)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2605,"(The node No.05)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2606,"(The node No.06)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2607,"(The node No.07)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2608,"(The node No.08)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2609,"(The node No.09)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
260A,"(The node No.10)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
260B,"(The node No.11)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
260C,"(The node No.12)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
260D,"(The node No.13)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
260E,"(The node No.14)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
260F,"(The node No.15)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2610,"(The node No.16)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2611,"(The node No.17)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2612,"(The node No.18)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2613,"(The node No.19)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2614,"(The node No.20)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2615,"(The node No.21)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2616,"(The node No.22)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2617,"(The node No.23)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2618,"(The node No.24)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2619,"(The node No.25)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
261A,"(The node No.26)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
261B,"(The node No.27)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
261C,"(The node No.28)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
261D,"(The node No.29)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
261E,"(The node No.30)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
261F,"(The node No.31)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2620,"(The node No.32)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2621,"(The node No.33)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2622,"(The node No.34)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2623,"(The node No.35)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2624,"(The node No.36)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2625,"(The node No.37)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2626,"(The node No.38)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2627,"(The node No.39)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2628,"(The node No.40)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2629,"(The node No.41)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
262A,"(The node No.42)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
262B,"(The node No.43)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
262C,"(The node No.44)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
262D,"(The node No.45)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
262E,"(The node No.46)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
262F,"(The node No.47)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2630,"(The node No.48)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2631,"(The node No.49)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2632,"(The node No.50)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2633,"(The node No.51)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2634,"(The node No.52)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2635,"(The node No.53)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2636,"(The node No.54)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2637,"(The node No.55)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2638,"(The node No.56)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2639,"(The node No.57)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
263A,"(The node No.58)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
263B,"(The node No.59)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
263C,"(The node No.60)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
263D,"(The node No.61)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
263E,"(The node No.62)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
263F,"(The node No.63)
Response data of the function that is not supported by the QJ71DN91 was received.","Check the slave node manual, and prevent any data of the function not supported by the QJ71DN91 from being sent from the slave node.
Check the entire network and slave node states for any fault such as disconnection of a terminating resistor."
2700,"(The node No.00)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2701,"(The node No.01)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2702,"(The node No.02)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2703,"(The node No.03)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2704,"(The node No.04)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2705,"(The node No.05)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2706,"(The node No.06)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2707,"(The node No.07)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2708,"(The node No.08)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2709,"(The node No.09)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
270A,"(The node No.10)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
270B,"(The node No.11)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
270C,"(The node No.12)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
270D,"(The node No.13)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
270E,"(The node No.14)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
270F,"(The node No.15)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2710,"(The node No.16)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2711,"(The node No.17)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2712,"(The node No.18)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2713,"(The node No.19)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2714,"(The node No.20)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2715,"(The node No.21)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2716,"(The node No.22)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2717,"(The node No.23)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2718,"(The node No.24)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
2719,"(The node No.25)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
271A,"(The node No.26)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
271B,"(The node No.27)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
271C,"(The node No.28)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
271D,"(The node No.29)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
271E,"(The node No.30)
The connection is already in the specified mode.",Check the entire network and slave node states for any fault such as disconnection of a terminating resistor.
